journal_name,url,error_type,error_message
JFMR-Journal of Fisheries and Marine Research,http://jfmr.ub.ac.id/index.php/jfmr/index,SSLError,Gagal melakukan koneksi: http://jfmr.ub.ac.id/index.php/jfmr/index
Ius et Praxis,http://www.revistaiepraxis.cl,SSLError,Gagal melakukan koneksi: http://www.revistaiepraxis.cl
Jurnal Pendidikan Matematika dan IPA,http://jurnal.untan.ac.id/index.php/PMP,SSLError,"HTTPSConnectionPool(host='jurnal.untan.ac.id', port=443): Max retries exceeded with url: /index.php/PMP (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1000)')))"
Temporalidades,https://seer.ufmg.br/index.php/temporalidades/index,SSLError,Gagal melakukan koneksi: https://seer.ufmg.br/index.php/temporalidades/index
Desafios,https://sistemas2.uft.edu.br:8004/index.php/desafios,SSLError,"HTTPSConnectionPool(host='sistemas2.uft.edu.br', port=8004): Max retries exceeded with url: /index.php/desafios (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1000)')))"
Meta-Carto-Semiotics,http://meta-carto-semiotics.org,SSLError,Gagal melakukan koneksi: http://meta-carto-semiotics.org
Revista Estudo & Debate,http://univates.br/revistas/index.php/estudoedebate,ReadTimeout,"HTTPConnectionPool(host='univates.br', port=80): Read timed out. (read timeout=13)"
Jurnal Sain Veteriner,https://jurnal.ugm.ac.id/jsv/index,ReadTimeout,"HTTPSConnectionPool(host='jurnal.ugm.ac.id', port=443): Read timed out. (read timeout=13)"
Publicum,http://www.e-publicacoes.uerj.br/index.php/publicum/index,SSLError,Gagal melakukan koneksi: http://www.e-publicacoes.uerj.br/index.php/publicum/index
Jurnal Pendidikan Matematika,http://ejournal.unsri.ac.id/index.php/jpm/index,SSLError,Gagal melakukan koneksi: http://ejournal.unsri.ac.id/index.php/jpm/index
Acta Logistica,http://www.actalogistica.eu,SSLError,Gagal melakukan koneksi: http://www.actalogistica.eu
Jema: Jurnal Ilmiah Bidang Akuntansi dan Manajemen,http://riset.unisma.ac.id/index.php/jema/,SSLError,"HTTPSConnectionPool(host='riset.unisma.ac.id', port=443): Max retries exceeded with url: /index.php/jema/ (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1000)')))"
Buletin Peternakan,http://journal.ugm.ac.id/buletinpeternakan/index,ReadTimeout,"HTTPSConnectionPool(host='journal.ugm.ac.id', port=443): Read timed out. (read timeout=13)"
Journal of Advanced Guidance and Counseling,https://journal.walisongo.ac.id/index.php/agc,SSLError,Gagal melakukan koneksi: https://journal.walisongo.ac.id/index.php/agc
Journal of Dairy Science,https://www.journals.elsevier.com/journal-of-dairy-science,SSLError,Gagal melakukan koneksi: https://www.journals.elsevier.com/journal-of-dairy-science
